"","codew","flux_umolm2sec","plot_code","sub_plot","plot_corner_code","collar_number","measurement_code","treatment_code_partitioning","disturbance_code_control","litter_code","replica","year","egm_measurement","recno","day","month","hour","min","co2ref_ppm_sec","InputD","time","InputF","atmp_mb","probe_type","quality_code","comments","collar_num","vwc_percent_in","vwc_percent_out","soil_temp_c_in","soil_temp_c_out","air_temp_c","ch_new","ch_fill","collar_diam","codew"
"3054","18.2.24.11.2009","4.419211938159","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,17,24,11,10,7,479,50,76,0.61,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,1.55,12,"18.2.24.11.2009"
"3055","18.2.24.2.2011","5.52453343557096","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,13,24,2,9,21,528,52,57,0.85,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.15,12,"18.2.24.2.2011"
"3056","18.2.24.3.2013","6.27112401602369","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,12,24,3,12,6,463,53,52,0.95,983,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.2,12,"18.2.24.3.2013"
"3057","18.2.24.4.2006","3.50175507692616","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,24,24,4,11,9,462,52,110,0.44,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.45,12,"18.2.24.4.2006"
"3058","18.2.24.4.2013","5.02425728428536","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,17,24,4,10,17,519,53,76,0.66,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.45,12,"18.2.24.4.2013"
"3059","18.2.24.6.2009","5.27416854975856","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,14,24,6,11,35,529,50,62,0.76,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.8,12,"18.2.24.6.2009"
"3060","18.2.24.6.2013","5.67344539419451","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,13,24,6,14,8,535,52,57,0.85,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.8,12,"18.2.24.6.2013"
"3061","18.2.24.7.2008","3.6858958749372","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,22,24,7,11,17,493,50,100,0.47,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.9,12,"18.2.24.7.2008"
"3062","18.2.24.9.2007","3.11945938576585","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,27,24,9,12,39,456,50,124,0.38,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.8,12,"18.2.24.9.2007"
"3063","18.2.24.9.2011","3.28530803049652","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,27,24,9,10,3,486,51,124,0.39,998,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.8,12,"18.2.24.9.2011"
"3064","18.2.25.1.2009","4.93621175814227","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,15,25,1,11,29,501,52,67,0.73,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.2.25.1.2009"
"3065","18.2.25.1.2010","6.33092913813409","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2010,NA,13,25,1,11,19,494,52,57,0.85,988,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.2.25.1.2010"
"3066","18.2.25.10.2009","5.95146084694336","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,13,25,10,10,53,480,52,57,0.86,988,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.75,12,"18.2.25.10.2009"
"3067","18.2.25.10.2015","3.702990825127","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2015,85,18,25,10,10,39,450,50,81,0.58,992,8,"good","NaN",18,NA,11.4,NA,25,27.7,2.3,2.3,12,"18.2.25.10.2015"
"3068","18.2.25.11.2013","6.13851900960003","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,11,25,11,10,51,509,53,48,1.04,985,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,1.55,12,"18.2.25.11.2013"
"3069","18.2.25.11.2014","4.14296879222882","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,17,25,11,11,44,504,51,76,0.62,985,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,1.55,12,"18.2.25.11.2014"
"3070","18.2.25.2.2007","4.94717471723818","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,17,25,2,12,7,500,50,76,0.62,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.15,12,"18.2.25.2.2007"
"3071","18.2.25.3.2007","5.90068325522636","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,12,25,3,12,7,494,51,52,0.92,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.2,12,"18.2.25.3.2007"
"3072","18.2.25.4.2008","5.01919250879717","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,18,25,4,10,27,586,52,81,0.61,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.45,12,"18.2.25.4.2008"
"3073","18.2.25.5.2016","2.59848535605078","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,42,25,5,10,38,461,50,105,0.44,993,8,"good","NaN",18,NA,17.5,NA,21.6,23,2.1,2.1,12,"18.2.25.5.2016"
"3074","18.2.25.6.2005","3.51964970289052","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,23,25,6,11,3,479,50,105,0.45,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.8,12,"18.2.25.6.2005"
"3075","18.2.25.6.2008","2.35114958377343","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,27,25,6,11,44,434,47,124,0.35,997,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.8,12,"18.2.25.6.2008"
"3076","18.2.25.6.2012","8.07397029833931","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,10,25,6,11,50,500,56,43,1.23,996,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.8,12,"18.2.25.6.2012"
"3077","18.2.25.6.2015","4.08117659784335","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2015,85,19,25,6,10,49,457,50,86,0.55,996,8,"good","NaN",18,NA,12,NA,23.5,24.8,3.5,3.5,12,"18.2.25.6.2015"
"3078","18.2.25.7.2013","2.22043707234647","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,27,25,7,13,18,432,32,124,0.24,998,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.9,12,"18.2.25.7.2013"
"3079","18.2.25.8.2009","4.44304657221167","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,20,25,8,9,47,446,52,91,0.54,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,5.4,12,"18.2.25.8.2009"
"3080","18.2.25.8.2011","1.70886406623526","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,27,25,8,12,40,442,24,124,0.18,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,5.4,12,"18.2.25.8.2011"
"3081","18.2.26.10.2005","4.50899410962506","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,18,26,10,11,34,486,53,81,0.61,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.75,12,"18.2.26.10.2005"
"3082","18.2.26.10.2006","5.97555583012937","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,13,26,10,11,17,522,50,57,0.82,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.75,12,"18.2.26.10.2006"
"3083","18.2.26.10.2008","4.95034367969067","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,19,26,10,11,16,439,52,67,0.74,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.75,12,"18.2.26.10.2008"
"3084","18.2.26.10.2011","5.81805691564523","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,15,26,10,13,18,480,54,67,0.76,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.75,12,"18.2.26.10.2011"
"3085","18.2.26.12.2015","4.33775681498908","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2015,85,15,26,12,11,55,444,52,67,0.73,986,8,"good","NaN",18,NA,19,NA,25.5,26.3,2.4,2.4,12,"18.2.26.12.2015"
"3086","18.2.26.2.2016","3.53979227445475","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,18,26,2,12,7,489,50,81,0.58,985,8,"good","NaN",18,NA,18,NA,26.6,27.7,2.4,2.4,12,"18.2.26.2.2016"
"3087","18.2.26.3.2009","5.19297553310609","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,14,26,3,11,32,489,52,62,0.79,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.2,12,"18.2.26.3.2009"
"3088","18.2.26.4.2009","5.9557155399772","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,13,26,4,10,56,471,50,57,0.83,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.45,12,"18.2.26.4.2009"
"3089","18.2.26.5.2008","5.25946226760154","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,18,26,5,11,31,457,50,81,0.58,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.26.5.2008"
"3090","18.2.26.5.2012","10.0077136689837","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,10,26,5,11,58,516,55,43,1.2,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.26.5.2012"
"3091","18.2.26.8.2008","2.55556756840007","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,27,26,8,11,16,479,35,124,0.27,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,5.4,12,"18.2.26.8.2008"
"3092","18.2.26.8.2012","6.01709070960325","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,15,26,8,11,38,473,52,67,0.74,1001,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,5.4,12,"18.2.26.8.2012"
"3093","18.2.26.9.2009","5.59809716504875","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,14,26,9,9,1,513,50,62,0.76,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.8,12,"18.2.26.9.2009"
"3094","18.2.27.11.2005","3.87174578205474","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,45,27,11,13,7,474,52,86,0.57,984,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,1.55,12,"18.2.27.11.2005"
"3095","18.2.27.2.2006","3.5798651220216","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,23,27,2,12,36,464,51,105,0.45,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.15,12,"18.2.27.2.2006"
"3096","18.2.27.2.2014","4.51890171179431","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,27,27,2,2,38,484,50,72,0.66,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.15,12,"18.2.27.2.2014"
"3097","18.2.27.3.2006","3.0297319169536","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,26,27,3,11,34,491,50,120,0.4,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.2,12,"18.2.27.3.2006"
"3098","18.2.27.4.2012","8.57942272090518","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,9,27,4,13,37,562,50,38,1.24,988,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.45,12,"18.2.27.4.2012"
"3099","18.2.27.5.2006","3.49836744056466","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,26,27,5,10,49,525,50,120,0.39,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.27.5.2006"
"3100","18.2.27.5.2009","7.52109927844995","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,13,27,5,11,31,448,52,57,0.85,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.27.5.2009"
"3101","18.2.27.5.2011","2.0808121945268","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,27,27,5,9,54,553,16,124,0.12,998,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.27.5.2011"
"3102","18.2.27.7.2005","2.21376241180836","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,27,27,7,12,18,431,40,124,0.31,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.9,12,"18.2.27.7.2005"
"3103","18.2.27.7.2012","3.39784719127007","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,19,27,7,10,15,586,51,86,0.56,996,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.9,12,"18.2.27.7.2012"
"3104","18.2.27.7.2016","2.96732041672982","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,23,27,7,11,42,440,50,105,0.45,992,8,"good","NaN",18,NA,7,NA,23.2,25.1,7,7,12,"18.2.27.7.2016"
"3105","18.2.27.8.2006","2.21259253922702","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,27,27,8,10,59,421,29,124,0.22,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,5.4,12,"18.2.27.8.2006"
"3106","18.2.28.1.2006","4.18602760036989","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,23,28,1,11,40,482,52,105,0.47,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.2.28.1.2006"
"3107","18.2.28.1.2011","7.11400134096714","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,11,28,1,9,47,473,50,48,1,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.2.28.1.2011"
"3108","18.2.28.1.2016","3.45076775486476","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,35,28,1,12,25,473,51,91,0.53,987,8,"good","NaN",18,NA,19,NA,26,27.5,3.2,3.2,12,"18.2.28.1.2016"
"3109","18.2.28.10.2014","3.7817369951694","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,18,28,10,10,5,501,50,81,0.57,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.75,12,"18.2.28.10.2014"
"3110","18.2.28.11.2012","7.63318425682008","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,10,28,11,0,0,501,54,43,1.18,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,1.55,12,"18.2.28.11.2012"
"3111","18.2.28.2.2012","6.7122471037905","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,12,28,2,13,57,465,53,52,0.95,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.15,12,"18.2.28.2.2012"
"3112","18.2.28.3.2014","2.25629683252002","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,27,28,3,5,7,488,49,124,0.37,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.2,12,"18.2.28.3.2014"
"3113","18.2.28.3.2016","5.0266116546208","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,13,28,3,11,34,465,52,57,0.86,994,8,"good","NaN",18,NA,26.2,NA,24.8,25,3.4,3.4,12,"18.2.28.3.2016"
"3114","18.2.28.4.2005","3.05114353652227","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,27,28,4,12,50,428,50,124,0.38,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.45,12,"18.2.28.4.2005"
"3115","18.2.28.4.2007","6.58635682727951","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,15,28,4,11,25,472,55,67,0.78,998,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.45,12,"18.2.28.4.2007"
"3116","18.2.28.8.2016","3.67272611126213","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,20,28,8,10,59,523,51,91,0.53,988,8,"good","NaN",18,NA,10,NA,25,28.7,5.3,5.3,12,"18.2.28.8.2016"
"3117","18.2.28.9.2016","3.89576113110767","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,18,28,9,10,36,508,51,81,0.59,996,8,"good","NaN",18,NA,11,NA,24.4,29.6,4,4,12,"18.2.28.9.2016"
"3118","18.2.29.1.2012","5.23661694202801","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,22,29,1,13,7,541,52,100,0.49,989,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.2.29.1.2012"
"3119","18.2.29.10.2016","2.62797283244271","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,37,29,10,10,14,469,45,91,0.47,994,8,"good","NaN",18,NA,18,NA,23.8,28.6,0,0,12,"18.2.29.10.2016"
"3120","18.2.29.5.2013","1.8726930663076","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,27,29,5,9,57,470,30,124,0.22,988,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.29.5.2013"
"3121","18.2.29.6.2016","2.9969181566289","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2016,85,20,29,6,12,28,456,50,91,0.52,994,8,"good","NaN",18,NA,10,NA,21.2,21.7,2.2,2.2,12,"18.2.29.6.2016"
"3122","18.2.29.8.2005","4.14149724960545","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,26,29,8,12,25,454,52,120,0.4,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,5.4,12,"18.2.29.8.2005"
"3123","18.2.3.3.2009","4.50936843453558","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,17,3,3,9,45,594,50,76,0.62,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.2,12,"18.2.3.3.2009"
"3124","18.2.30.11.2011","7.89583804521988","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,9,30,11,13,39,467,51,38,1.25,989,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,1.55,12,"18.2.30.11.2011"
"3125","18.2.30.5.2007","5.68062866368813","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,19,30,5,12,6,444,50,86,0.56,999,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.30.5.2007"
"3126","18.2.30.8.2007","3.23705225330675","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,27,30,8,11,36,471,51,124,0.39,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,5.4,12,"18.2.30.8.2007"
"3127","18.2.30.9.2005","3.11005398058264","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,27,30,9,9,49,479,50,124,0.38,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.8,12,"18.2.30.9.2005"
"3128","18.2.30.9.2015","3.40598045636269","TAM-05",18,"NaN",18,"TOTAL","NaN","NaN","normal",2,2015,85,20,30,9,11,18,496,52,91,0.54,987,8,"good","NaN",18,NA,9,NA,25.8,28,2.3,2.3,12,"18.2.30.9.2015"
"3129","18.2.31.7.2009","2.65918475838527","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,27,31,7,10,23,538,41,124,0.31,996,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,2.9,12,"18.2.31.7.2009"
"3130","18.2.4.5.2014","5.25415504028812","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,18,4,5,11,58,477,51,81,0.59,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,7.3,12,"18.2.4.5.2014"
"3131","18.3.1.8.2007","3.33331827436861","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2007,NA,26,1,8,12,19,473,52,120,0.41,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.1.8.2007"
"3132","18.3.13.12.2005","5.69014683670351","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2005,NA,14,13,12,13,29,476,52,62,0.78,984,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.13.12.2005"
"3133","18.3.17.12.2009","6.32452131511978","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2009,NA,13,17,12,10,54,482,53,57,0.87,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.17.12.2009"
"3134","18.3.18.12.2006","5.2712940152806","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2006,NA,17,18,12,9,52,483,53,76,0.65,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.18.12.2006"
"3135","18.3.18.12.2007","7.12117994978749","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2007,NA,11,18,12,9,59,480,50,48,0.99,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.18.12.2007"
"3136","18.3.19.12.2008","7.5451760792618","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2008,NA,11,19,12,11,19,550,55,48,1.09,988,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.19.12.2008"
"3137","18.3.2.10.2006","4.79648995875716","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2006,NA,20,2,10,11,32,453,53,91,0.55,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.2.10.2006"
"3138","18.3.20.11.2007","6.49847026670325","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2007,NA,14,20,11,11,49,460,53,62,0.8,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.20.11.2007"
"3139","18.3.22.11.2008","4.83868781763186","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2008,NA,16,22,11,11,0,453,53,72,0.69,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.22.11.2008"
"3140","18.3.22.2.2008","5.87956833654104","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2008,NA,15,22,2,12,12,481,50,67,0.71,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.22.2.2008"
"3141","18.3.22.3.2008","5.86175146279394","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2008,NA,14,22,3,13,30,491,50,62,0.76,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.22.3.2008"
"3142","18.3.22.6.2007","3.8837659001341","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2007,NA,17,22,6,11,9,524,50,76,0.61,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.22.6.2007"
"3143","18.3.22.9.2008","2.64096081209119","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2008,NA,27,22,9,12,21,439,47,124,0.35,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.22.9.2008"
"3144","18.3.23.10.2007","5.73640819309947","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2007,NA,15,23,10,11,34,448,50,67,0.71,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.23.10.2007"
"3145","18.3.23.2.2010","6.32452131511978","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2010,NA,12,23,2,10,57,483,50,52,0.89,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.23.2.2010"
"3146","18.3.23.6.2006","5.60387565855969","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2006,NA,14,23,6,10,41,498,52,62,0.8,996,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.23.6.2006"
"3147","18.3.23.7.2006","1.86045671127551","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2006,NA,27,23,7,11,59,409,31,124,0.23,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.23.7.2006"
"3148","18.3.24.1.2007","4.94121298586075","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2007,NA,19,24,1,12,8,503,53,86,0.57,988,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.1.2007"
"3149","18.3.24.1.2008","5.29766057306064","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2008,NA,16,24,1,8,19,501,52,72,0.68,991,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.1.2008"
"3150","18.3.24.11.2006","5.41539188891938","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2006,NA,17,24,11,10,29,472,50,76,0.61,990,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.11.2006"
"3151","18.3.24.11.2009","4.97477591250275","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2009,NA,16,24,11,10,9,503,53,72,0.69,987,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.11.2009"
"3152","18.3.24.4.2006","3.78786167541888","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2006,NA,21,24,4,11,11,456,51,96,0.5,992,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.4.2006"
"3153","18.3.24.6.2009","6.05867480420919","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2009,NA,14,24,6,11,37,487,52,62,0.8,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.6.2009"
"3154","18.3.24.7.2008","3.41771399211801","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2008,NA,24,24,7,11,19,563,50,110,0.43,994,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.7.2008"
"3155","18.3.24.9.2007","3.11013848743133","TAM-05",18,NA,NA,"TOTAL",NA,NA,NA,3,2007,NA,27,24,9,12,42,465,47,124,0.35,995,8,NA,NA,18,NA,NA,NA,NA,25.4508076923077,NA,3.75,12,"18.3.24.9.2007"
